date,weightLbs,bodyFatPct
20180418,196.4,
20180419,193.6,
20180420,193.2,
20180421,189,
20180422,192.4,
20180423,192.2,
20180424,189.8,
20180425,188,
20180426,187.8,
20180427,189,
20180428,189.4,
20180429,191.6,
20180430,190.8,
20180501,190,
20180502,188.6,
20180503,191,
20180504,188.8,
20180505,187.6,
20180506,190.2,
20180507,188,
20180508,185.4,
20180509,184,
20180510,185,
20180511,187,
20180512,186.4,
20180513,187.4,
20180514,187.8,
20180515,188.2,
20180516,186.4,
20180517,185.6,17
20180518,186.4,
20180519,185,
20180520,185.6,
20180521,185,17.8
20180522,184.4,17.5
20180523,184.6,17.4
20180524,185,
20180525,185.4,16
20180526,186.4,
20180527,,
20180528,182.4,
20180529,184.4,
20180530,184.2,17.4
20180531,182.8,16.9
20180601,182.8,
20180602,183.4,15.69
20180603,185,15.99
20180604,183.2,
20180605,182.2,
20180606,181,16.28
20180607,182,
20180608,181.8,
20180609,183.6,
20180610,183.6,
20180611,182.6,
20180612,180.8,15.1
20180613,181.8,15.69
20180614,181.6,
20180615,181.4,14.81
20180616,181.0,
20180617,181.8,
20180618,181.4,14.5
20180619,179.6,12.82
20180620,178.2,12.82
20180621,179.8,
20180622,179.6,
20180623,179,
20180624,178.6,
20180625,180,
20180626,179.6,
20180627,179.4,12.51
20180628,180.4,
20180629,180,
20180704,178.6,
20180705,178,
20180706,180.2,
20180708,180.8,13.42
20180709,178.6,12.51
20180711,178.6,12.51
20180712,177.2,13.12
20180713,179.6,
20180714,177.8,
20180715,181.6,
20180716,180.6,
20180717,177.6,
20180718,176.8,12.51
20180719,179,
20180720,178.6,
20180721,177.8,
20180722,179.2,
20180723,177.6,12.51
20180725,177,10.67
20180726,177.4,
20180727,177.6,
20180728,176.6,
20180730,178.4,13.12
20180731,176.4,
20180801,176.2,11.3
20180802,175.6,
20180807,176.4,13.4
20180808,178,
20180809,175.6,11.6
